"Story","Title","Result","Date","Stability","Duration (s)"
"End to End testing of User data","Create a new User data & verify if the User is added","SUCCESS","2022-06-21T06:33:30.455+01:00[Europe/London]","0.0","6.13"
"End to End testing of User data","Verify the User data are successfully created","SUCCESS","2022-06-21T06:33:37.516+01:00[Europe/London]","0.0","0.86"
"End to End testing of User data","Update the User data for given ID","SUCCESS","2022-06-21T06:33:38.460+01:00[Europe/London]","0.0","2.12"
"End to End testing of User data","Delete the Prodct data for given ID & verify the record are deleted successfully","SUCCESS","2022-06-21T06:33:40.619+01:00[Europe/London]","0.0","1.91"
